instance,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,best_bound,runtime,depth,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
Uniform1-1000_Seed42_J50_M25,25,50,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,976,976,0.04181623458862305,30,32,True,32,,
Uniform1-1000_Seed42_J50_M25,25,50,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,976,976,0.06762886047363281,39,43,True,43,,
Uniform1-1000_Seed43_J50_M25,25,50,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1249,1055.64,1.33750319480896,27,1001,False,1001,,
Uniform1-1000_Seed43_J50_M25,25,50,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1184,1118,1.6238868236541748,34,1001,False,1001,,
Uniform1-1000_Seed44_J50_M25,25,50,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,999,999,0.04628777503967285,35,37,True,37,,
Uniform1-1000_Seed44_J50_M25,25,50,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,999,999,0.06229877471923828,36,38,True,38,,
Uniform1-1000_Seed45_J50_M25,25,50,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1132,972,1.500396966934204,25,1001,False,1001,,
Uniform1-1000_Seed45_J50_M25,25,50,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1025,978,1.2745792865753174,40,1001,False,1001,,
Uniform1-1000_Seed46_J50_M25,25,50,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1316,1022.88,1.5716619491577148,25,1001,False,1001,,
Uniform1-1000_Seed46_J50_M25,25,50,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1156,1156,0.06590485572814941,35,37,True,37,,
Uniform1-1000_Seed47_J50_M25,25,50,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1245,967,1.3382925987243652,25,1001,False,1001,,
Uniform1-1000_Seed47_J50_M25,25,50,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1124,1124,0.04877829551696777,28,30,True,30,,
Uniform1-1000_Seed48_J50_M25,25,50,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1106,999.52,1.3326144218444824,36,1001,False,1001,,
Uniform1-1000_Seed48_J50_M25,25,50,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1106,999.52,1.344123125076294,36,1001,False,1001,,
Uniform1-1000_Seed49_J50_M25,25,50,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1171,1035.24,1.4286010265350342,37,1001,False,1001,,
Uniform1-1000_Seed49_J50_M25,25,50,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1200,1035.24,1.4897282123565674,36,1001,False,1001,,
Uniform1-1000_Seed50_J50_M25,25,50,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,993,993,0.03015899658203125,22,24,True,24,,
Uniform1-1000_Seed50_J50_M25,25,50,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,993,993,0.04597353935241699,27,29,True,29,,
Uniform1-1000_Seed51_J50_M25,25,50,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1380,1120.12,1.4001896381378174,25,1001,False,1001,,
Uniform1-1000_Seed51_J50_M25,25,50,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1247,1247,0.06560969352722168,35,41,True,41,,
Uniform1-1000_Seed42_J100_M50,50,100,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,978,976,0.6149454116821289,83,85,True,85,,
Uniform1-1000_Seed42_J100_M50,50,100,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,976,976,1.3468804359436035,90,169,True,169,,
Uniform1-1000_Seed43_J100_M50,50,100,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1238,1028.2,7.427807569503784,57,1001,False,1001,,
Uniform1-1000_Seed43_J100_M50,50,100,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1254,1028.2,9.855771541595459,57,1001,False,1001,,
Uniform1-1000_Seed44_J100_M50,50,100,0.004,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1241,1019.42,8.14643931388855,50,1001,False,1001,,
Uniform1-1000_Seed44_J100_M50,50,100,0.002,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1053,1053,0.8833513259887695,90,102,True,102,,
