instance,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,nodes_to_best_solution,best_bound,runtime,depth,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
Uniform1-1000_Seed42_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,976,32,976,0.0432581901550293,30,32,True,32,899.6,0.07827868852459013
Uniform1-1000_Seed42_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,987,37,976,0.056749582290649414,33,37,True,37,899.6,0.0885511651469098
Uniform1-1000_Seed43_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1245,1757,1055.64,2.990129232406616,27,2001,False,2001,1055.64,0.1520963855421686
Uniform1-1000_Seed43_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1142,386,1122,0.5393633842468262,36,386,True,386,1055.64,0.07562171628721533
Uniform1-1000_Seed44_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,999,37,999,0.046399831771850586,35,37,True,37,933.56,0.06550550550550556
Uniform1-1000_Seed44_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,999,38,999,0.05747056007385254,36,38,True,38,933.56,0.06550550550550556
Uniform1-1000_Seed45_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1131,1407,972,3.187324285507202,25,2001,False,2001,959.52,0.15161803713527852
Uniform1-1000_Seed45_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1025,1072,978,2.490363836288452,40,2001,False,2001,959.52,0.06388292682926831
Uniform1-1000_Seed46_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1316,1799,1022.88,3.9137065410614014,25,2001,False,2001,1022.88,0.2227355623100304
Uniform1-1000_Seed46_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1179,33,1156,0.0536344051361084,31,33,True,33,1022.88,0.1324173027989822
Uniform1-1000_Seed47_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1245,782,967,2.820164918899536,25,2001,False,2001,961.48,0.22772690763052209
Uniform1-1000_Seed47_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1136,29,1127,0.04384756088256836,27,29,True,29,961.48,0.15362676056338026
Uniform1-1000_Seed48_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1106,848,999.52,2.9048237800598145,36,2001,False,2001,999.52,0.09627486437613021
Uniform1-1000_Seed48_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1100,1667,999.52,2.961824893951416,36,2001,False,2001,999.52,0.09134545454545456
Uniform1-1000_Seed49_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1171,37,1035.24,3.175823211669922,37,2001,False,2001,1035.24,0.11593509820666097
Uniform1-1000_Seed49_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1199,1257,1035.24,3.0170633792877197,36,2001,False,2001,1035.24,0.13658048373644704
Uniform1-1000_Seed50_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1008,20,993,0.026928186416625977,18,20,True,20,879.36,0.1276190476190476
Uniform1-1000_Seed50_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1011,23,993,0.035158395767211914,21,23,True,23,879.36,0.13020771513353113
Uniform1-1000_Seed51_J50_M25,25,50,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1380,287,1120.12,3.083221673965454,25,2001,False,2001,1120.12,0.1883188405797102
Uniform1-1000_Seed51_J50_M25,25,50,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,1251,38,1251,0.06922793388366699,35,38,True,38,1120.12,0.10462030375699449
Uniform1-1000_Seed42_J100_M50,50,100,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,992,83,976,0.6455671787261963,81,83,True,83,949.58,0.04276209677419351
