instance,epsilon_range,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,best_bound,runtime,depth,nodes_explored,nodes_best,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
Uniform1-1000_Seed42_J1000_M10,"[0.000020, 0.019785]",10,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,50778,50492.9,0.01758718490600586,0,2,-1,True,-1,50497.0,0.005533892630666825
Uniform1-1000_Seed42_J1000_M10,"[0.000020, 0.019785]",10,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,50778,50492.9,0.014794111251831055,0,2,-1,True,-1,50497.0,0.005533892630666825
Uniform1-1000_Seed42_J1000_M20,"[0.000040, 0.039570]",20,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,25646,25246.45,0.03265666961669922,0,2,2,True,-1,25260.0,0.01505108009046245
Uniform1-1000_Seed42_J1000_M20,"[0.000040, 0.039570]",20,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,25702,25246.45,0.025976896286010742,0,2,-1,True,-1,25260.0,0.017197105283635515
Uniform1-1000_Seed42_J1000_M30,"[0.000059, 0.059355]",30,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,17141,16830.966666666667,1.0004827976226807,17,19,19,True,-1,17018.0,0.007175777375882387
Uniform1-1000_Seed42_J1000_M30,"[0.000059, 0.059355]",30,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,17148,16830.966666666667,3.9017486572265625,54,56,56,True,-1,17018.0,0.0075810590156286444
Uniform1-1000_Seed42_J1000_M40,"[0.000079, 0.079140]",40,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,12875,12623.225,42.38900089263916,204,206,206,True,-1,12793.0,0.006368932038834952
Uniform1-1000_Seed42_J1000_M40,"[0.000079, 0.079140]",40,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,12848,12623.225,38.24570322036743,189,191,191,True,-1,12793.0,0.004280821917808219
Uniform1-1000_Seed42_J1000_M50,"[0.000099, 0.098925]",50,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,10297,10098.58,152.2270519733429,368,370,370,True,-1,10277.0,0.0019423132951345051
Uniform1-1000_Seed42_J1000_M50,"[0.000099, 0.098925]",50,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,10286,10098.58,222.12268209457397,458,460,460,True,-1,10277.0,0.00087497569511958
Uniform1-1000_Seed42_J1000_M60,"[0.000119, 0.118710]",60,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,8565,8415.483333333334,299.68204164505005,483,485,485,True,-1,8600.0,0.004069767441860465
Uniform1-1000_Seed42_J1000_M60,"[0.000119, 0.118710]",60,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,8578,8415.483333333334,367.75029039382935,537,539,539,True,-1,8600.0,0.0025581395348837207
Uniform1-1000_Seed42_J1000_M70,"[0.000139, 0.138495]",70,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,7350,7213.271428571428,422.9896774291992,527,529,529,True,-1,7461.0,0.014877362283876157
Uniform1-1000_Seed42_J1000_M70,"[0.000139, 0.138495]",70,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,7345,7213.271428571428,478.23991894721985,561,563,563,True,-1,7461.0,0.015547513738104812
Uniform1-1000_Seed42_J1000_M80,"[0.000158, 0.158280]",80,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6564,6311.6125,247.82110714912415,364,366,366,True,366,6564.0,0.0
Uniform1-1000_Seed42_J1000_M80,"[0.000158, 0.158280]",80,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6430,6311.6125,803.9277899265289,683,685,685,True,-1,6564.0,0.020414381474710544
Uniform1-1000_Seed42_J1000_M90,"[0.000178, 0.178065]",90,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5720,5610.322222222222,1003.3887977600098,714,716,716,True,-1,6021.0,0.04999169573160604
Uniform1-1000_Seed42_J1000_M90,"[0.000178, 0.178065]",90,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5717,5610.322222222222,945.2885706424713,697,699,699,True,-1,6021.0,0.05048995183524332
Uniform1-1000_Seed42_J1000_M100,"[0.000198, 0.197850]",100,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5149,5049.29,1185.2295100688934,734,736,736,True,-1,5427.0,0.051225354707941775
Uniform1-1000_Seed42_J1000_M100,"[0.000198, 0.197850]",100,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5144,5049.29,1423.1782994270325,793,795,795,True,-1,5427.0,0.0521466740372213
Uniform1-1000_Seed42_J1000_M110,"[0.000218, 0.217635]",110,1000,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4671,4590.263636363637,1370.9342257976532,750,752,752,True,-1,5424.0,0.1388274336283186
Uniform1-1000_Seed42_J1000_M110,"[0.000218, 0.217635]",110,1000,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4679,4590.263636363637,1696.5049848556519,815,817,817,True,-1,5424.0,0.13735250737463126
