instance,epsilon_range,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,nodes_to_best_solution,nodes_explored,runtime,opt_gap,terminate,best_bound,depth,number_of_nodes_for_optimality,optimal_solution
Uniform1-5000_Seed61_J20_M10,"[0.058089, 0.869996]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5905,16,2001,0.9942975044250488,0.11082133784928021,False,5250.6,10,-1,5250.6
Uniform1-5000_Seed61_J20_M10,"[0.058089, 0.869996]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5877,13,13,0.00487971305847168,0.10658499234303209,True,5458.0,11,-1,5250.6
Uniform1-5000_Seed62_J20_M10,"[0.018908, 0.926508]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6172,45,2001,1.0084514617919922,0.16025599481529493,False,5182.9,10,-1,5182.9
Uniform1-5000_Seed62_J20_M10,"[0.018908, 0.926508]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6367,12,12,0.0040361881256103516,0.18597455630595264,True,6060.0,10,-1,5182.9
Uniform1-5000_Seed63_J20_M10,"[0.029885, 0.797703]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5262,979,2001,1.3260688781738281,0.10971113645001904,False,4684.7,10,-1,4684.7
Uniform1-5000_Seed63_J20_M10,"[0.029885, 0.797703]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5521,10,12,0.006391048431396484,0.15147618185111397,True,5062.0,10,-1,4684.7
Uniform1-5000_Seed64_J20_M10,"[0.011869, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4754,2,2,0.0009982585906982422,0.02524190155658393,True,4634.0,0,-1,4634.0
Uniform1-5000_Seed64_J20_M10,"[0.011869, 1.000000]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4754,2,2,0.0,0.02524190155658393,True,4634.0,0,-1,4634.0
Uniform1-5000_Seed65_J20_M10,"[0.025683, 0.900020]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6174,12,2001,0.8585927486419678,0.12340459993521212,False,5412.1,10,-1,5412.1
Uniform1-5000_Seed65_J20_M10,"[0.025683, 0.900020]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6078,13,13,0.005842924118041992,0.10955906548206641,True,6078.0,11,-1,5412.1
Uniform1-5000_Seed66_J20_M10,"[0.010809, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5201,7,7,0.002354145050048828,0.07498557969621227,True,4811.0,5,-1,4811.0
Uniform1-5000_Seed66_J20_M10,"[0.010809, 1.000000]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5170,11,11,0.005016803741455078,0.06943907156673114,True,4811.0,9,-1,4811.0
Uniform1-5000_Seed67_J20_M10,"[0.073404, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5231,8,8,0.0027093887329101562,0.05983559548843433,True,4918.0,6,-1,4918.0
Uniform1-5000_Seed67_J20_M10,"[0.073404, 1.000000]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5300,8,8,0.004037380218505859,0.07207547169811321,True,4918.0,6,-1,4918.0
Uniform1-5000_Seed68_J20_M10,"[0.029437, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5165,9,9,0.0042972564697265625,0.07918683446272991,True,4756.0,7,-1,4756.0
Uniform1-5000_Seed68_J20_M10,"[0.029437, 1.000000]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5162,16,16,0.006636619567871094,0.07865168539325842,True,4756.0,14,-1,4756.0
Uniform1-5000_Seed69_J20_M10,"[0.052059, 0.961589]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5469,24,24,0.008940458297729492,0.09030901444505388,True,4975.1,11,-1,4975.1
Uniform1-5000_Seed69_J20_M10,"[0.052059, 0.961589]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5409,18,18,0.0073587894439697266,0.0802181549269735,True,5108.0,14,-1,4975.1
Uniform1-5000_Seed70_J20_M10,"[0.049741, 0.872593]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6557,766,2001,1.0398786067962646,0.1414976361140766,False,5629.2,10,-1,5629.2
Uniform1-5000_Seed70_J20_M10,"[0.049741, 0.872593]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6529,13,13,0.002939939498901367,0.13781589829989283,True,6195.0,11,-1,5629.2
Uniform1-5000_Seed71_J20_M10,"[0.033752, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5062,19,19,0.007636308670043945,0.08692216515211379,True,4622.0,10,-1,4622.0
Uniform1-5000_Seed71_J20_M10,"[0.033752, 1.000000]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5050,12,12,0.005095005035400391,0.08475247524752476,True,4886.0,10,-1,4622.0
Uniform1-5000_Seed72_J20_M10,"[0.064515, 0.858174]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6438,11,2001,0.9029426574707031,0.13084808946877907,False,5595.6,10,-1,5595.6
Uniform1-5000_Seed72_J20_M10,"[0.064515, 0.858174]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6662,11,12,0.005845546722412109,0.16007205043530465,True,6307.0,10,-1,5595.6
Uniform1-5000_Seed73_J20_M10,"[0.030924, 0.945809]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5348,87,2001,0.9218742847442627,0.11114435302916971,False,4753.6,10,-1,4753.6
Uniform1-5000_Seed73_J20_M10,"[0.030924, 0.945809]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5675,10,12,0.004879951477050781,0.16236123348017614,True,5238.0,10,-1,4753.6
Uniform1-5000_Seed74_J20_M10,"[0.043294, 0.854836]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6678,11,2001,1.2523882389068604,0.13183587900569027,False,5797.6,10,-1,5797.6
Uniform1-5000_Seed74_J20_M10,"[0.043294, 0.854836]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6721,15,32,0.003305196762084961,0.13739026930516288,True,6122.0,13,-1,5797.6
Uniform1-5000_Seed75_J20_M10,"[0.046030, 1.000000]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4345,5,5,0.0,0.0,True,4345.0,3,5,4345.0
Uniform1-5000_Seed75_J20_M10,"[0.046030, 1.000000]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4345,6,6,0.0028128623962402344,0.0,True,4345.0,4,6,4345.0
Uniform1-5000_Seed76_J20_M10,"[0.020525, 0.880029]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6352,1243,2001,1.9131219387054443,0.13326511335012595,False,5505.5,11,-1,5505.5
Uniform1-5000_Seed76_J20_M10,"[0.020525, 0.880029]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6173,21,26,0.020737648010253906,0.10813218856309736,True,5607.0,15,-1,5505.5
Uniform1-5000_Seed77_J20_M10,"[0.032005, 0.933476]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5813,517,2001,1.0741047859191895,0.09698950627902979,False,5249.2,10,-1,5249.2
Uniform1-5000_Seed77_J20_M10,"[0.032005, 0.933476]",10,20,0.05,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5731,14,14,0.004868507385253906,0.08406909788867566,True,5316.0,12,-1,5249.2
Uniform1-5000_Seed78_J20_M10,"[0.028684, 0.899990]",10,20,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5886,10,2001,0.7442324161529541,0.11748216106014271,False,5194.5,10,-1,5194.5
