instance,epsilon_range,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,nodes_to_best_solution,nodes_explored,runtime,opt_gap,terminate,best_bound,depth,number_of_nodes_for_optimality,optimal_solution
Uniform1-5000_Seed101_J20_M10,"[0.009012, 0.894000]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6418,1065,2001,0.3950510025024414,0.1355406668744156,False,5548.1,10,-1,5548.1
Uniform1-5000_Seed101_J20_M10,"[0.009012, 0.894000]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5880,16,16,0.0035967826843261,0.0564455782312924,True,5780.0,14,-1,5548.1
Uniform1-5000_Seed102_J20_M10,"[0.014668, 0.912358]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5900,351,2001,0.2988638877868652,0.075593220338983,False,5454.0,10,-1,5454.0
Uniform1-5000_Seed102_J20_M10,"[0.014668, 0.912358]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5928,13,13,0.0030922889709472,0.0799595141700404,True,5900.0,10,-1,5454.0
Uniform1-5000_Seed103_J20_M10,"[0.001890, 0.835997]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6845,10,2001,0.3479242324829101,0.1498319941563185,False,5819.4,10,-1,5819.4
Uniform1-5000_Seed103_J20_M10,"[0.001890, 0.835997]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6839,14,14,0.0029535293579101,0.1490861237022957,True,6839.0,12,-1,5819.4
Uniform1-5000_Seed104_J20_M10,"[0.014608, 1.000000]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4949,12,2001,0.3030848503112793,0.0317235805213174,False,4792.0,10,-1,4792.0
Uniform1-5000_Seed104_J20_M10,"[0.014608, 1.000000]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4949,13,13,0.0027215480804443,0.0317235805213174,True,4949.0,10,-1,4792.0
Uniform1-5000_Seed105_J20_M10,"[0.014357, 0.955319]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5592,8,2001,0.3149030208587646,0.0782725321888411,False,5154.3,10,-1,5154.3
Uniform1-5000_Seed105_J20_M10,"[0.014357, 0.955319]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5650,18,18,0.0035459995269775,0.0877345132743362,True,5592.0,14,-1,5154.3
