instance,epsilon_range,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,nodes_to_best_solution,nodes_explored,runtime,opt_gap,terminate,best_bound,depth,number_of_nodes_for_optimality,optimal_solution
Uniform1-5000_Seed1_J20_M10,"[0.030127, 0.990048]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5679,264,2001,0.8490967750549316,0.15250924458531437,False,4812.9,10,-1,4812.9
Uniform1-5000_Seed1_J20_M10,"[0.030127, 0.990048]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5562,16,16,0.008325815200805664,0.13468176914778862,True,5562.0,12,-1,4812.9
Uniform1-5000_Seed2_J20_M10,"[0.021704, 0.866251]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6429,442,2001,1.1717002391815186,0.10416861098149009,False,5759.3,11,-1,5759.3
Uniform1-5000_Seed2_J20_M10,"[0.021704, 0.866251]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6335,28,28,0.014210224151611328,0.0908760852407261,True,6335.0,14,-1,5759.3
Uniform1-5000_Seed3_J20_M10,"[0.158241, 0.949043]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5884,66,2001,1.331758975982666,0.1515295717199185,False,4992.4,10,-1,4992.4
Uniform1-5000_Seed3_J20_M10,"[0.158241, 0.949043]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5336,19,19,0.0,0.06439280359820097,True,5240.0,17,-1,4992.4
Uniform1-5000_Seed4_J20_M10,"[0.012695, 1.000000]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4490,8,8,0.002005338668823242,0.1297995545657016,True,4490.0,6,-1,3907.2
Uniform1-5000_Seed4_J20_M10,"[0.012695, 1.000000]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4490,9,9,0.004076242446899414,0.1297995545657016,True,4490.0,7,-1,3907.2
Uniform1-5000_Seed5_J20_M10,"[0.040653, 0.848775]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5859,48,2001,1.1974470615386963,0.1351254480286738,False,5067.3,10,-1,5067.3
Uniform1-5000_Seed5_J20_M10,"[0.040653, 0.848775]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5392,20,20,0.009237527847290039,0.060218842729970294,True,5392.0,15,-1,5067.3
Uniform1-5000_Seed6_J20_M10,"[0.045337, 0.937562]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5487,592,2001,1.1055512428283691,0.08347002004738473,False,5029.0,11,-1,5029.0
Uniform1-5000_Seed6_J20_M10,"[0.045337, 0.937562]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5360,60,60,0.019549131393432617,0.06175373134328358,True,5360.0,15,-1,5029.0
Uniform1-5000_Seed7_J20_M10,"[0.076509, 0.871067]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6019,23,2001,1.0095224380493164,0.1487622528659245,False,5123.6,10,-1,5123.6
Uniform1-5000_Seed7_J20_M10,"[0.076509, 0.871067]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5645,24,24,0.011128902435302734,0.09236492471213457,True,5539.0,13,-1,5123.6
Uniform1-5000_Seed8_J20_M10,"[0.050602, 0.919615]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5873,54,2001,0.8930087089538574,0.08811510301379193,False,5355.5,11,-1,5355.5
Uniform1-5000_Seed8_J20_M10,"[0.050602, 0.919615]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5810,22,22,0.008805513381958008,0.07822719449225474,True,5785.0,13,-1,5355.5
Uniform1-5000_Seed9_J20_M10,"[0.046849, 0.916201]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5558,1388,2001,0.7636644840240479,0.08213386110111551,False,5101.5,10,-1,5101.5
Uniform1-5000_Seed9_J20_M10,"[0.046849, 0.916201]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5621,16,16,0.006894588470458984,0.0924212773527842,True,5558.0,12,-1,5101.5
Uniform1-5000_Seed10_J20_M10,"[0.048832, 0.982746]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5367,761,2001,0.9026689529418945,0.08425563629588222,False,4914.8,13,-1,4914.8
Uniform1-5000_Seed10_J20_M10,"[0.048832, 0.982746]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5235,447,528,0.1817615032196045,0.061165234001910186,True,5141.0,16,-1,4914.8
Uniform1-5000_Seed11_J20_M10,"[0.028217, 1.000000]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5070,478,478,0.15221047401428223,0.014398422090729782,True,4997.0,13,-1,4997.0
Uniform1-5000_Seed11_J20_M10,"[0.028217, 1.000000]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5032,24,24,0.010096073150634766,0.006955484896661367,True,5021.0,13,-1,4997.0
Uniform1-5000_Seed12_J20_M10,"[0.010681, 0.976225]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5046,53,2001,0.8051550388336182,0.07227506936187075,False,4681.3,10,-1,4681.3
Uniform1-5000_Seed12_J20_M10,"[0.010681, 0.976225]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5010,37,37,0.012673616409301758,0.0656087824351297,True,5010.0,14,-1,4681.3
Uniform1-5000_Seed13_J20_M10,"[0.015182, 1.000000]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4949,2,2,0.0012133121490478516,0.0018185492018589614,True,4940.0,0,-1,4940.0
Uniform1-5000_Seed13_J20_M10,"[0.015182, 1.000000]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4949,2,2,0.0007205009460449219,0.0018185492018589614,True,4940.0,0,-1,4940.0
Uniform1-5000_Seed14_J20_M10,"[0.047904, 1.000000]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4937,130,130,0.041977882385253906,0.019039902774964552,True,4843.0,13,-1,4843.0
Uniform1-5000_Seed14_J20_M10,"[0.047904, 1.000000]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4972,22,42,0.010956287384033203,0.025945293644408687,True,4889.0,13,-1,4843.0
Uniform1-5000_Seed15_J20_M10,"[0.004024, 1.000000]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4970,5,5,0.0010669231414794922,0.0,True,4970.0,3,5,4970.0
Uniform1-5000_Seed15_J20_M10,"[0.004024, 1.000000]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4970,5,5,0.001990795135498047,0.0,True,4970.0,3,5,4970.0
Uniform1-5000_Seed16_J20_M10,"[0.067705, 0.833378]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,7107,364,2001,0.813326358795166,0.20612072604474457,False,5642.1,10,-1,5642.1
Uniform1-5000_Seed16_J20_M10,"[0.067705, 0.833378]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6965,13,13,0.004723787307739258,0.18993539124192385,True,6965.0,11,-1,5642.1
Uniform1-5000_Seed17_J20_M10,"[0.045283, 0.943849]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5628,1055,2001,0.9938008785247803,0.0975124378109453,False,5079.2,10,-1,5079.2
Uniform1-5000_Seed17_J20_M10,"[0.045283, 0.943849]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5499,27,27,0.015128135681152344,0.07634115293689765,True,5499.0,16,-1,5079.2
Uniform1-5000_Seed18_J20_M10,"[0.117562, 0.934701]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5737,154,2001,1.0086872577667236,0.12818546278542786,False,5001.6,11,-1,5001.6
Uniform1-5000_Seed18_J20_M10,"[0.117562, 0.934701]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5213,24,24,0.010287284851074219,0.040552464991367665,True,5213.0,16,-1,5001.6
Uniform1-5000_Seed19_J20_M10,"[0.049351, 0.817715]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6341,407,2001,0.9102070331573486,0.14679072701466647,False,5410.2,10,-1,5410.2
Uniform1-5000_Seed19_J20_M10,"[0.049351, 0.817715]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6020,14,14,0.0061931610107421875,0.10129568106312295,True,6020.0,12,-1,5410.2
Uniform1-5000_Seed20_J20_M10,"[0.083669, 0.858185]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6728,492,2001,1.2626113891601562,0.1561979785969084,False,5677.1,10,-1,5677.1
Uniform1-5000_Seed20_J20_M10,"[0.083669, 0.858185]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6047,18,18,0.004040718078613281,0.0611708285100049,True,6047.0,15,-1,5677.1
Uniform1-5000_Seed21_J20_M10,"[0.010410, 1.000000]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4726,2,2,0.0,0.004020313161235718,True,4707.0,0,-1,4707.0
Uniform1-5000_Seed21_J20_M10,"[0.010410, 1.000000]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4726,2,2,0.000698089599609375,0.004020313161235718,True,4707.0,0,-1,4707.0
Uniform1-5000_Seed22_J20_M10,"[0.054374, 0.964754]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5916,111,2001,1.1021413803100586,0.12956389452332656,False,5149.5,10,-1,5149.5
Uniform1-5000_Seed22_J20_M10,"[0.054374, 0.964754]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5789,15,15,0.006175041198730469,0.11046812921057178,True,5789.0,11,-1,5149.5
Uniform1-5000_Seed23_J20_M10,"[0.008266, 1.000000]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5188,235,2001,0.7544023990631104,0.06727062451811873,False,4839.0,11,-1,4839.0
Uniform1-5000_Seed23_J20_M10,"[0.008266, 1.000000]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5015,17,17,0.006543397903442383,0.03509471585244267,True,5015.0,13,-1,4839.0
Uniform1-5000_Seed24_J20_M10,"[0.062394, 0.971406]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5054,1716,2001,0.8248004913330078,0.08035219628017419,False,4647.9,10,-1,4647.9
Uniform1-5000_Seed24_J20_M10,"[0.062394, 0.971406]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4864,18,25,0.008509635925292969,0.044428453947368496,True,4783.0,16,-1,4647.9
Uniform1-5000_Seed25_J20_M10,"[0.049670, 0.960225]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5627,25,2001,0.8504273891448975,0.08405900124400213,False,5154.0,13,-1,5154.0
Uniform1-5000_Seed25_J20_M10,"[0.049670, 0.960225]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5425,312,312,0.11257147789001465,0.04995391705069124,True,5425.0,16,-1,5154.0
Uniform1-5000_Seed26_J20_M10,"[0.222182, 0.992453]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5218,13,2001,0.9676334857940674,0.05032579532387895,False,4955.4,17,-1,4955.4
Uniform1-5000_Seed26_J20_M10,"[0.222182, 0.992453]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5100,1628,1628,0.5109419822692871,0.02835294117647066,True,5036.0,19,-1,4955.4
Uniform1-5000_Seed27_J20_M10,"[0.046608, 1.000000]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4940,13,13,0.0050013065338134766,0.018421052631578946,True,4849.0,11,-1,4849.0
Uniform1-5000_Seed27_J20_M10,"[0.046608, 1.000000]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4849,14,14,0.005998373031616211,0.0,True,4849.0,12,14,4849.0
Uniform1-5000_Seed28_J20_M10,"[0.009781, 1.000000]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4731,7,7,0.003000974655151367,0.005918410484041429,True,4703.0,5,-1,4703.0
Uniform1-5000_Seed28_J20_M10,"[0.009781, 1.000000]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4720,7,7,0.002904176712036133,0.0036016949152542373,True,4703.0,5,-1,4703.0
Uniform1-5000_Seed29_J20_M10,"[0.049825, 0.979411]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5711,1379,2001,1.0367193222045898,0.14953598319033445,False,4857.0,10,-1,4857.0
Uniform1-5000_Seed29_J20_M10,"[0.049825, 0.979411]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5141,16,16,0.006448507308959961,0.055242170783894186,True,5141.0,14,-1,4857.0
Uniform1-5000_Seed30_J20_M10,"[0.009322, 0.990698]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5830,11,2001,0.7478644847869873,0.13518010291595203,False,5041.9,10,-1,5041.9
Uniform1-5000_Seed30_J20_M10,"[0.009322, 0.990698]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5830,13,13,0.004908323287963867,0.13518010291595203,True,5830.0,11,-1,5041.9
Uniform1-5000_Seed31_J20_M10,"[0.006004, 1.000000]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5130,107,2001,0.7239842414855957,0.05847953216374269,False,4830.0,15,-1,4830.0
Uniform1-5000_Seed31_J20_M10,"[0.006004, 1.000000]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5130,10,416,0.11403393745422363,0.05847953216374269,True,5040.0,15,-1,4830.0
Uniform1-5000_Seed32_J20_M10,"[0.002045, 1.000000]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4889,5,5,0.0020017623901367188,0.0,True,4889.0,3,5,4889.0
Uniform1-5000_Seed32_J20_M10,"[0.002045, 1.000000]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4913,9,9,0.003998756408691406,0.004884998982291879,True,4889.0,7,-1,4889.0
Uniform1-5000_Seed33_J20_M10,"[0.011813, 1.000000]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4952,5,5,0.002998828887939453,0.008481421647819063,True,4910.0,3,-1,4910.0
Uniform1-5000_Seed33_J20_M10,"[0.011813, 1.000000]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4910,7,7,0.003999233245849609,0.0,True,4910.0,5,7,4910.0
Uniform1-5000_Seed34_J20_M10,"[0.062959, 0.954457]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5699,1028,2001,1.0056214332580566,0.09420951044042808,False,5162.1,11,-1,5162.1
Uniform1-5000_Seed34_J20_M10,"[0.062959, 0.954457]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5426,15,15,0.0060062408447265625,0.04863619609288604,True,5325.0,13,-1,5162.1
Uniform1-5000_Seed35_J20_M10,"[0.087125, 0.854047]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6544,-1,2001,1.3517944812774658,0.16512836185819077,False,5463.4,10,-1,5463.4
Uniform1-5000_Seed35_J20_M10,"[0.087125, 0.854047]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5853,16,16,0.007322072982788086,0.06656415513411931,True,5801.0,14,-1,5463.4
Uniform1-5000_Seed36_J20_M10,"[0.051455, 1.000000]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,4742,7,7,0.001997709274291992,0.0,True,4742.0,5,7,4742.0
Uniform1-5000_Seed36_J20_M10,"[0.051455, 1.000000]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,4757,10,10,0.005002737045288086,0.003153247845280639,True,4742.0,8,-1,4742.0
Uniform1-5000_Seed37_J20_M10,"[0.069955, 0.892471]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6175,75,2001,0.8199405670166016,0.10179757085020248,False,5546.4,11,-1,5546.4
Uniform1-5000_Seed37_J20_M10,"[0.069955, 0.892471]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6135,14,14,0.006128072738647461,0.0959413202933986,True,6020.0,12,-1,5546.4
Uniform1-5000_Seed38_J20_M10,"[0.124760, 0.794454]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,7067,179,2001,1.2422890663146973,0.12439507570397627,False,6187.9,11,-1,6187.9
Uniform1-5000_Seed38_J20_M10,"[0.124760, 0.794454]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6789,15,15,0.0069730281829833984,0.08854028575637066,True,6702.0,13,-1,6187.9
Uniform1-5000_Seed39_J20_M10,"[0.014456, 0.959255]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6043,11,2001,0.6633105278015137,0.198692702300182,False,4842.3,10,-1,4842.3
Uniform1-5000_Seed39_J20_M10,"[0.014456, 0.959255]",10,20,0.01,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6065,14,14,0.006381988525390625,0.2015993404781533,True,6065.0,11,-1,4842.3
Uniform1-5000_Seed40_J20_M10,"[0.077773, 0.839917]",10,20,0.02,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6824,9,2001,1.0080718994140625,0.1634085580304807,False,5708.9,10,-1,5708.9
