instance,epsilon_range,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,best_bound,runtime,depth,nodes_explored,terminate,number_of_nodes_for_optimality,optimal_solution,opt_gap
Uniform1-1000_Seed42_J100_M10,"[0.000421, 0.205565]",10,100,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5017,4747.9,0.0,0,2,True,2,4748.0,0.053617699820609925
Uniform1-1000_Seed42_J100_M15,"[0.000632, 0.308347]",15,100,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,3357,3165.266666666667,0.01765584945678711,5,7,True,7,3173.0,0.054810843014596364
Uniform1-1000_Seed42_J100_M20,"[0.000842, 0.411129]",20,100,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,2605,2373.95,0.06962752342224121,15,17,True,17,2383.0,0.08522072936660269
Uniform1-1000_Seed42_J100_M25,"[0.001053, 0.513911]",25,100,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,2072,1899.16,0.21631217002868652,37,39,True,39,1910.0,0.07818532818532818
Uniform1-1000_Seed42_J100_M30,"[0.001264, 0.616694]",30,100,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1733,1582.6333333333334,0.4030883312225342,54,56,True,56,1603.0,0.07501442585112522
Uniform1-1000_Seed42_J100_M40,"[0.001685, 0.822258]",40,100,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1294,1186.975,0.8399834632873535,68,70,True,70,1205.0,0.0687789799072643
Uniform1-1000_Seed42_J100_M50,"[0.002049, 1.000000]",50,100,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1064,976.0,1.009087324142456,70,72,True,72,982.0,0.07706766917293233
Uniform1-1000_Seed42_J100_M60,"[0.002049, 1.000000]",60,100,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1022,976.0,0.5451161861419678,25,27,True,27,976.0,0.04500978473581213
Uniform1-1000_Seed42_J100_M70,"[0.002049, 1.000000]",70,100,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,1046,976.0,0.5145173072814941,15,17,True,17,1456.0,0.2815934065934066
Uniform1-1000_Seed42_J100_M80,"[0.002049, 1.000000]",80,100,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,976,976.0,0.01811695098876953,0,2,True,2,1484.0,0.3423180592991914
Uniform1-1000_Seed42_J100_M90,"[0.002049, 1.000000]",90,100,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,976,976.0,0.021212100982666016,0,2,True,2,1195.0,0.18326359832635983
Uniform1-1000_Seed42_J100_M100,"[0.002049, 1.000000]",100,100,0.1,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,976,976.0,0.013871192932128906,0,2,True,2,1267.0,0.2296764009471192
