instance,epsilon_range,n_machines,n_jobs,epsilon,branching_rule,node_selection,profiling_mode,rounding_rule,lower_bound,best_solution,nodes_to_best_solution,nodes_explored,runtime,opt_gap,terminate,best_bound,depth,number_of_nodes_for_optimality,optimal_solution
Uniform1-5000_Seed1_J25_M10,"[0.025332, 0.832460]",10,25,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,6604,3,3,0.0,0.1332525741974561,True,5724.0,1,-1,5724.0
Uniform1-5000_Seed1_J25_M10,"[0.025332, 0.832460]",10,25,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,6919,8,8,0.004210710525512695,0.1727128197716433,True,5724.0,6,-1,5724.0
Uniform1-5000_Seed7_J25_M10,"[0.060725, 0.691370]",10,25,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,7427,5,5,0.0,0.1308334455365558,True,6455.3,3,-1,6455.3
Uniform1-5000_Seed7_J25_M10,"[0.060725, 0.691370]",10,25,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,7559,7,7,0.0,0.1460113771662918,True,6455.3,5,-1,6455.3
Uniform1-5000_Seed13_J25_M10,"[0.002429, 1.000000]",10,25,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,5728,9,9,0.0,0.14043296089385468,True,4940.0,7,-1,4923.6
Uniform1-5000_Seed13_J25_M10,"[0.002429, 1.000000]",10,25,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,5852,10,10,0.0,0.1586466165413533,True,4940.0,8,-1,4923.6
Uniform1-5000_Seed1_J50_M10,"[0.011927, 0.409647]",10,50,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,13607,2,2,0.0011038780212402344,0.10657749687660768,True,12156.8,0,-1,12156.8
Uniform1-5000_Seed1_J50_M10,"[0.011927, 0.409647]",10,50,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,14379,-1,2,0.0009989738464355469,0.1545448223103137,True,12156.8,0,-1,12156.8
Uniform1-5000_Seed7_J50_M10,"[0.007646, 0.399572]",10,50,0.2,max_proc,lowest_lower_bound,NO_PROFILING,all_to_shortest,greedy,14174,2,2,0.0010981559753417969,0.14187949767179342,True,12163.0,0,-1,12163.0
Uniform1-5000_Seed7_J50_M10,"[0.007646, 0.399572]",10,50,0.1,max_proc,lowest_lower_bound,PRUNE,all_to_shortest,greedy,14586,3,3,0.0031228065490722656,0.16611819552996024,True,12163.0,1,-1,12163.0
